index,identifier,smiles,csd_spacegroup,wyckoff_spg,wyckoff_aflow
97,ABAMOH,[I-].CC[N+](C)(CC)CC1=C(C)OC(=C1N(C)C)c1ccccc1,"(14, 1)",A19B29CD2E_mP208_14_19e_29e_e_2e_e:C-H-I-N-O,A19B29CD2E_mP208_14_19e_29e_e_2e_e:C-H-I-N-O
98,ABAMUN,Fc1ccc(cc1)C(=O)CCC[NH+]1CC[NH+](CC1)C(c1ccccc1)c1ccccc1.[Cl-].[Cl-].O,"(15, 1)",A27B2CD33E2F2_mC536_15_27f_2f_f_33f_2f_2f:C-Cl-F-H-N-O,A27B2CD33E2F2_mC536_15_27f_2f_f_33f_2f_2f:C-Cl-F-H-N-O
99,ABANEA,CC1(C)CC2(c3ccccc3c3ccccc23)c2c([Li](O3CCCC3)O3CCCC3)c3c(cc12)C(C)(C)CC13c2ccccc2c2ccccc12,"(14, 1)",A48B49CD2_mP400_14_48e_49e_e_2e:C-H-Li-O,A48B49CD2_mP400_14_48e_49e_e_2e:C-H-Li-O
100,ABANOJ,Cc1ccc(cc1)S(=O)(=O)NC1CC2COC(O2)C1I.Cc1ccc(cc1)S(=O)(=O)NC1CC2COC(O2)C1I,"(4, 1)",A13B16CDE4F_mP144_4_26a_32a_2a_2a_8a_2a:C-H-I-N-O-S,A13B16CDE4F_mP144_4_26a_32a_2a_2a_8a_2a:C-H-I-N-O-S
101,ABANUO,Clc1ccc2C(CCNc2c1)c1ccc(cc1)c1ccccc1,"(19, 1)",A21BC18D_oP164_19_21a_a_18a_a:C-Cl-H-N,A21BC18D_oP164_19_21a_a_18a_a:C-Cl-H-N
102,ABANUP,Cc1ccc(cc1)S(=O)(=O)NC1C(Cl)CC2COC1O2,"(4, 1)",A13BC16DE4F_mP72_4_13a_a_16a_a_4a_a:C-Cl-H-N-O-S,A13BC16DE4F_mP72_4_13a_a_16a_a_4a_a:C-Cl-H-N-O-S
103,ABANUQ,Cc1cc(C)c([P+]c2c3c(cc4c2C2(CC4(C)C)c4ccccc4c4ccccc24)C(C)(C)CC23c3ccccc3c3ccccc23)c(C)c1.Fc1c(F)c(F)c(c(F)c1F)[B-](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,"(14, 1)",AB73C20D44E_mP556_14_e_73e_20e_44e_e:B-C-F-H-P,AB73C20D44E_mP556_14_e_73e_20e_44e_e:B-C-F-H-P
104,ABAPAW,CC1(Br)C(C2=C(OCCC2)C1=O)c1ccccc1,"(19, 1)",AB15C15D2_oP132_19_a_15a_15a_2a:Br-C-H-O,AB15C15D2_oP132_19_a_15a_15a_2a:Br-C-H-O
105,ABAPAX,Cc1ccc(cc1)S(=O)(=O)NC1C=CC2COC1O2,"(4, 1)",A13B15CD4E_mP68_4_13a_15a_a_4a_a:C-H-N-O-S,A13B15CD4E_mP68_4_13a_15a_a_4a_a:C-H-N-O-S
106,ABAPEA,CC12CCC(=O)C=C1CCC1C3C(O)CC(=O)C3(C)CC(O)C21,"(19, 1)",A19B26C4_oP196_19_19a_26a_4a:C-H-O,A19B26C4_oP196_19_19a_26a_4a:C-H-O
