index,identifier,smiles,csd_spacegroup,wyckoff_spg,wyckoff_aflow
23,ABEKAU,CCOC1O[B-](Oc2c(C)[nH+]cc(CO)c12)(c1ccccc1)c1ccccc1.O,"(2, 1)",AB22C26DE5_aP110_2_i_22i_26i_i_5i:B-C-H-N-O,AB22C26DE5_aP110_2_i_22i_26i_i_5i:B-C-H-N-O
24,ABEKAV,CC(NC(=O)C12CCC(=O)C=C1C(O)CCC2(C)C)c1ccccc1,"(19, 1)",A21B27CD3_oP208_19_21a_27a_a_3a:C-H-N-O,A21B27CD3_oP208_19_21a_27a_a_3a:C-H-N-O
25,ABEKAW,C[Si](C)(C)C#CN(c1ccccc1)S(=O)(=O)c1ccccc1I.C[Si](C)(C)C#CN(c1ccccc1)S(=O)(=O)c1ccccc1I,"(14, 1)",A17B18CDE2FG_mP328_14_34e_36e_2e_2e_4e_2e_2e:C-H-I-N-O-S-Si,A17B18CDE2FG_mP328_14_34e_36e_2e_2e_4e_2e_2e:C-H-I-N-O-S-Si
26,ABEKEA,COc1cc(OC)cc(c1)C#CC(=C1N(c2ccccc2)S(=O)(=O)c2ccccc12)[Si](C)(C)C,"(2, 1)",A27B27CD4EF_aP122_2_27i_27i_i_4i_i_i:C-H-N-O-S-Si,A27B27CD4EF_aP122_2_27i_27i_i_4i_i_i:C-H-N-O-S-Si
27,ABEKEY,N(N=CC1=CC=CS1)c1ccccc1,"(19, 1)",A11B10C2D_oP96_19_11a_10a_2a_a:C-H-N-S,A11B10C2D_oP96_19_11a_10a_2a_a:C-H-N-S
28,ABEKIB,CCC1C(CC)c2ccccc2C2(SC32CCCc2ccc4ccccc4c32)c2ccccc12,"(19, 1)",A33B32C_oP264_19_33a_32a_a:C-H-S,A33B32C_oP264_19_33a_32a_a:C-H-S
29,ABEKIE,COc1ccccc1C#CC(=C1N(c2ccccc2)S(=O)(=O)c2ccccc12)[Si](C)(C)C,"(2, 1)",A26B25CD3EF_aP114_2_26i_25i_i_3i_i_i:C-H-N-O-S-Si,A26B25CD3EF_aP114_2_26i_25i_i_3i_i_i:C-H-N-O-S-Si
30,ABEKOI,COc1ccc2Oc3cc(O)cc(O)c3C(=O)c2c1,"(2, 1)",A14B10C5_aP58_2_14i_10i_5i:C-H-O,A14B10C5_aP58_2_14i_10i_5i:C-H-O
31,ABEKOJ,CCOC(=O)C(Cc1ccc(Br)cc1)(C1CC(=O)N(Cc2ccccc2)C1=O)N(=O)=O,"(19, 1)",AB22C21D2E6_oP208_19_a_22a_21a_2a_6a:Br-C-H-N-O,AB22C21D2E6_oP208_19_a_22a_21a_2a_6a:Br-C-H-N-O
32,ABEKOK,C[Si](C)(C)C#CC(=C1N(c2ccccc2)S(=O)(=O)c2ccccc12)[Si](C)(C)C,"(2, 1)",A22B27CD2EF2_aP110_2_22i_27i_i_2i_i_2i:C-H-N-O-S-Si,A22B27CD2EF2_aP110_2_22i_27i_i_2i_i_2i:C-H-N-O-S-Si
33,ABEKUN,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1,"(2, 1)",A9B8CD_aP76_2_18i_16i_2i_2i:C-H-N-O,A9B8CD_aP76_2_18i_16i_2i_2i:C-H-N-O
34,ABEKUN03,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1,"(2, 1)",A9B8CD_aP76_2_18i_16i_2i_2i:C-H-N-O,A9B8CD_aP76_2_18i_16i_2i_2i:C-H-N-O
35,ABEKUN04,Oc1cccc(O)c1.c1cc(ccn1)C=Cc1ccncc1,"(2, 1)",A9B8CD_aP76_2_18i_16i_2i_2i:C-H-N-O,A9B8CD_aP76_2_18i_16i_2i_2i:C-H-N-O
36,ABEKUO,CC(=NOCC(O)=O)c1ccccc1N=Nc1ccccc1,"(13, 1)",A16B15C3D3_mP148_13_16g_15g_3g_3g:C-H-N-O,A16B15C3D3_mP148_13_16g_15g_3g_3g:C-H-N-O
37,ABEKUQ,[Cl-].CC1=Cc2[n+](CCO)c(C)cc3cc(O)cc(O1)c23,"(14, 1)",A15BC16DE3_mP144_14_15e_e_16e_e_3e:C-Cl-H-N-O,A15BC16DE3_mP144_14_15e_e_16e_e_3e:C-Cl-H-N-O
38,ABEKUR,c1cncc(c1)c1ccc(cc1)C(c1ccc(cc1)c1cccnc1)(c1ccc(cc1)c1cccnc1)c1ccc(cc1)c1cccnc1.O.O,"(2, 1)",A45B36C4D2_aP174_2_45i_36i_4i_2i:C-H-N-O,A45B36C4D2_aP174_2_45i_36i_4i_2i:C-H-N-O
39,ABELAV,CCOc1ccccc1C1=Nc2ccccc2N1CC,"(19, 1)",A17B18C2D_oP152_19_17a_18a_2a_a:C-H-N-O,A17B18C2D_oP152_19_17a_18a_2a_a:C-H-N-O
40,ABELAW,CC(=O)NN(CC(N)=O)C(C)=O,"(4, 1)",A6B11C3D3_mP46_4_6a_11a_3a_3a:C-H-N-O,A6B11C3D3_mP46_4_6a_11a_3a_3a:C-H-N-O
41,ABELAX,F[B-](F)(F)F.COC(=O)CCC1(CC(=O)OC)[n+]2ccccc2c2ccccc12,"(2, 1)",AB19C4D20EF4_aP98_2_i_19i_4i_20i_i_4i:B-C-F-H-N-O,AB19C4D20EF4_aP98_2_i_19i_4i_20i_i_4i:B-C-F-H-N-O
42,ABELEA,Cc1cc(cc(n1)c1ccccc1)c1ccc(cc1)C#N,"(2, 1)",A19B14C2_aP70_2_19i_14i_2i:C-H-N,A19B14C2_aP70_2_19i_14i_2i:C-H-N
43,ABELEB,CCOC(=O)C1CC2(C(=C)CN1S(=O)(=O)c1ccc(cc1)N(=O)=O)C(=O)Nc1ccccc21,"(19, 1)",A22B21C3D7E_oP216_19_22a_21a_3a_7a_a:C-H-N-O-S,A22B21C3D7E_oP216_19_22a_21a_3a_7a_a:C-H-N-O-S
44,ABELEY,COc1cc(O)cc(O)c1.c1cc(ccn1)C=Cc1ccncc1,"(14, 1)",A19B18C2D3_mP168_14_19e_18e_2e_3e:C-H-N-O,A19B18C2D3_mP168_14_19e_18e_2e_3e:C-H-N-O
45,ABELEZ,CC1(C)C2CCC31CS(=O)(=O)N(C3C2)C(=O)C1=C(C2C3CCC(C3)C12)c1ccccc1,"(19, 1)",A26B31CD3E_oP248_19_26a_31a_a_3a_a:C-H-N-O-S,A26B31CD3E_oP248_19_26a_31a_a_3a_a:C-H-N-O-S
46,ABELIC,Oc1cccc(O)c1.c1ccc(C=Cc2ccccn2)nc1,"(2, 1)",A9B8CD_aP76_2_18i_16i_2i_2i:C-H-N-O,A9B8CD_aP76_2_18i_16i_2i_2i:C-H-N-O
47,ABELID,OC1(Cc2ccccc2)c2ccccc2[N+]2=NOC(=C12)[O-].OC1(Cc2ccccc2)c2ccccc2[N+]2=NOC(=C12)[O-],"(2, 1)",A16B12C2D3_aP132_2_32i_24i_4i_6i:C-H-N-O,A16B12C2D3_aP132_2_32i_24i_4i_6i:C-H-N-O
48,ABELOL,CCOC(=O)C1CC2(C(=C)CN1S(=O)(=O)c1ccc(cc1)N(=O)=O)C(=O)Nc1ccc(Br)cc21.ClC(Cl)Cl,"(2, 1)",AB23C3D21E3F7G_aP118_2_i_23i_3i_21i_3i_7i_i:Br-C-Cl-H-N-O-S,AB23C3D21E3F7G_aP118_2_i_23i_3i_21i_3i_7i_i:Br-C.-Cl.-H.-N-O-S
49,ABELUP,Oc1c(cc(cc1N(=O)=O)N(=O)=O)C(=O)[O-].NC1=[NH+]C=NC2=C1N=CN2C1OC(CO)C(O)C1O,"(4, 1)",A17B17C7D11_mP104_4_17a_17a_7a_11a:C-H-N-O,A17B17C7D11_mP104_4_17a_17a_7a_11a:C-H-N-O
50,ABEMAZ,Cc1ccc(cc1)C(c1ccc(C)cc1)S(=O)(=O)CF,"(14, 1)",A16BC17D2E_mP148_14_16e_e_17e_2e_e:C-F-H-O-S,A16BC17D2E_mP148_14_16e_e_17e_2e_e:C-F-H-O-S
51,ABEMEA,Oc1ccccc1C1=NNC(=S)N1c1ccccc1,"(14, 1)",A14B11C3DE_mP120_14_14e_11e_3e_e_e:C-H-N-O-S,A14B11C3DE_mP120_14_14e_11e_3e_e_e:C-H-N-O-S
52,ABEMEC,Cc1ccc(cc1)S(=O)(=O)N1C(=O)C(CC(F)(F)F)(c2ccccc2)C(=C(I)c2ccccc2)c2ccccc12,"(61, 1)",A31B3C23DEF3G_oP504_61_31c_3c_23c_c_c_3c_c:C-F-H-I-N-O-S,A31B3C23DEF3G_oP504_61_31c_3c_23c_c_c_3c_c:C-F-H-I-N-O-S
53,ABEMEZ,C[N+](C)(C)[B-](C#N)(C#N)C#N,"(62, 1)",AB6C9D4_oP80_62_c_2c2d_c4d_2cd:B-C-H-N,AB6C9D4_oP80_62_c_2c2d_c4d_2cd:B-C-H-N
54,ABEMIG,FC(F)(F)CC12C(=O)N(c3ccccc3C1=C(c1ccccc1)c1ccccc21)S(=O)(=O)c1ccc(Br)cc1,"(2, 1)",AB30C3D19EF3G_aP116_2_i_30i_3i_19i_i_3i_i:Br-C-F-H-N-O-S,AB30C3D19EF3G_aP116_2_i_30i_3i_19i_i_3i_i:Br-C-F-H-N-O-S
55,ABEMOK,COc1ccc(CNS(=O)(=O)Cc2ccccc2)c(C=CC)c1OC(C)C,"(14, 1)",A21B27CD4E_mP216_14_21e_27e_e_4e_e:C-H-N-O-S,A21B27CD4E_mP216_14_21e_27e_e_4e_e:C-H-N-O-S
56,ABEMOM,CC(=O)NC1(SCCSC1=O)C(=O)c1ccccc1,"(2, 1)",A13B13CD3E2_aP64_2_13i_13i_i_3i_2i:C-H-N-O-S,A13B13CD3E2_aP64_2_13i_13i_i_3i_2i:C-H-N-O-S
57,ABEMON,Clc1ccc2c(Cl)cc(CBr)c(c3ccccc3)c2c1.Clc1ccc2c(Cl)cc(CBr)c(c3ccccc3)c2c1,"(2, 1)",AB17C2D11_aP124_2_2i_34i_4i_22i:Br-C-Cl-H,AB17C2D11_aP124_2_2i_34i_4i_22i:Br-C-Cl-H
58,ABEMUP,CCOC(=O)C1C(C(=O)N1S(=O)(=O)c1ccc(C)cc1)c1ccccc1,"(19, 1)",A19B19CD5E_oP180_19_19a_19a_a_5a_a:C-H-N-O-S,A19B19CD5E_oP180_19_19a_19a_a_5a_a:C-H-N-O-S
59,ABEMUQ,Cc1ncc(CO)c(C(N2CC3(CCCCC3)OB(O2)c2ccccc2)c2ccccc2)c1O,"(14, 1)",AB27C31D2E4_mP260_14_e_27e_31e_2e_4e:B-C-H-N-O,AB27C31D2E4_mP260_14_e_27e_31e_2e_4e:B-C-H-N-O
60,ABEMUS,O=C1c2ccccc2OC(=C1C1CCCCC1)c1ccccc1,"(2, 1)",A21B20C2_aP86_2_21i_20i_2i:C-H-O,A21B20C2_aP86_2_21i_20i_2i:C-H-O
61,ABEMUT,Cc1cccc2c1c(Cl)cc(C)c2c1ccccc1,"(2, 1)",A18BC15_aP68_2_18i_i_15i:C-Cl-H,A18BC15_aP68_2_18i_i_15i:C-Cl-H
62,ABENAA,COc1cccc2c(c(C)cc(Cl)c12)c1ccccc1,"(2, 1)",A18BC15D_aP70_2_18i_i_15i_i:C-Cl-H-O,A18BC15D_aP70_2_18i_i_15i_i:C-Cl-H-O
63,ABENAX,COC(=O)c1cc(cc(c1O)N(=O)=O)N(=O)=O,"(14, 1)",A8B6C2D7_mP92_14_8e_6e_2e_7e:C-H-N-O,A8B6C2D7_mP92_14_8e_6e_2e_7e:C-H-N-O
64,ABENAZ,CCCC[Se]C1=C([Se]C2=C1Oc1ccccc21)c1ccc(Cl)cc1,"(61, 1)",A20BC17DE2_oP328_61_20c_c_17c_c_2c:C-Cl-H-O-Se,A20BC17DE2_oP328_61_20c_c_17c_c_2c:C-Cl-H-O-Se
65,ABENEB01,OC(=O)c1cc(F)ccc1O.OC(=O)c1cc(F)ccc1O,"(14, 1)",A7BC5D3_mP128_14_14e_2e_10e_6e:C-F-H-O,A7BC5D3_mP128_14_14e_2e_10e_6e:C-F-H-O
66,ABENEC,O=C1NNC(=O)C2C(C(C2c2ccncc2)c2ccncc2)C(=O)NNC(=O)C2C1C(C2c1ccncc1)c1ccncc1.O.O.O,"(15, 1)",A16B14C4D5_mC312_15_16f_14f_4f_5f:C-H-N-O,A16B14C4D5_mC312_15_16f_14f_4f_5f:C-H-N-O
67,ABENED,CCCC[Se]C1=C([Se]C2=C1Oc1ccccc21)c1ccc(Br)cc1,"(61, 1)",AB20C17DE2_oP328_61_c_20c_17c_c_2c:Br-C-H-O-Se,AB20C17DE2_oP328_61_c_20c_17c_c_2c:Br-C-H-O-Se
68,ABENIF,CC1=CCCC(C)(O)C(O)CC2CCC(C)(OC(=O)C2=C)C(O)CC1.O,"(5, 1)",A10B17C3_mC240_5_20c_34c_6c:C-H-O,A10B17C3_mC240_5_20c_34c_6c:C-H-O
69,ABENIG,O=C(NNC(=O)C1C(C(C1c1ccncc1)C(=O)NNC(=O)C=Cc1ccncc1)c1ccncc1)C=Cc1ccncc1.O.O,"(2, 1)",A8B9C2D2_aP84_2_16i_18i_4i_4i:C-H-N-O,A8B9C2D2_aP84_2_16i_18i_4i_4i:C-H-N-O
70,ABENII,Cc1ccc2c(Cl)cc(CBr)c(c3ccccc3)c2c1.Cc1ccc2c(Cl)cc(CBr)c(c3ccccc3)c2c1,"(2, 1)",AB18CD14_aP136_2_2i_36i_2i_28i:Br-C-Cl-H,AB18CD14_aP136_2_2i_36i_2i_28i:Br-C-Cl-H
71,ABENOL,CC(C)C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-],"(14, 1)",AB22C24D_mP192_14_e_22e_24e_e:Br-C-H-P,AB22C24D_mP192_14_e_22e_24e_e:Br-C-H-P
72,ABENOM,OCC1Cc2ccccc2CN1.OCC1Cc2ccccc2CN1,"(4, 1)",A10B13CD_mP100_4_20a_26a_2a_2a:C-H-N-O,A10B13CD_mP100_4_20a_26a_2a_2a:C-H-N-O
73,ABENON,COC(=O)C1C(COS(=O)(=O)c2ccc(C)cc2)C1N1C=Nc2c(OC)ncnc12,"(4, 1)",A19B20C4D6E_mP100_4_19a_20a_4a_6a_a:C-H-N-O-S,A19B20C4D6E_mP100_4_19a_20a_4a_6a_a:C-H-N-O-S
74,ABENUQ,OCC1OC(C(O)C1O)N1C=CN=C1N(=O)=O,"(4, 1)",A8B11C3D6_mP56_4_8a_11a_3a_6a:C-H-N-O,A8B11C3D6_mP56_4_8a_11a_3a_6a:C-H-N-O
75,ABENUR,CCCN1C=Nc2cc(Cl)c(Cl)cc12,"(2, 1)",A5BC5D_aP48_2_10i_2i_10i_2i:C-Cl-H-N,A5BC5D_aP48_2_10i_2i_10i_2i:C-Cl-H-N
76,ABENUT,ClCCl.CC(=O)Nc1ccccc1c1cccc2c(c3ccccc3)c(c3ccccc3)c(c3ccccc3)c(c3ccccc3)c12,"(14, 1)",A43B2C33DE_mP320_14_43e_2e_33e_e_e:C-Cl-H-N-O,A43B2C33DE_mP320_14_43e_2e_33e_e_e:C-Cl-H-N-O
77,ABEPAY,OC1C(O)C(OC1CI)N1C=CN=C1N(=O)=O.OC1C(O)C(OC1CI)N1C=CN=C1N(=O)=O,"(4, 1)",A8B10CD3E5_mP108_4_16a_20a_2a_6a_10a:C-H-I-N-O,A8B10CD3E5_mP108_4_16a_20a_2a_6a_10a:C-H-I-N-O
78,ABEPEC,OC(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1,"(2, 1)",A21B2_aP46_2_21i_2i:C-O,A21B2_aP46_2_21i_2i:C-H-O
79,ABEPEC01,OC(=O)CC(c1ccccc1)(c1ccccc1)c1ccccc1,"(2, 1)",A21B18C2_aP82_2_21i_18i_2i:C-H-O,A21B18C2_aP82_2_21i_18i_2i:C-H-O
80,ABEPED,COC(=O)C1OC(C(C)N=[N+]=[N-])C1O,"(4, 1)",A7B11C3D4_mP50_4_7a_11a_3a_4a:C-H-N-O,A7B11C3D4_mP50_4_7a_11a_3a_4a:C-H-N-O
81,ABEPEF,COC(=O)C1=CC(C(C1c1ccccc1Cl)C1=NS(=O)(=O)Oc2ccccc12)c1ccccc1,"(146, 1)",A26BC20DE5F_hR486_146_26b_b_20b_b_5b_b:C-Cl-H-N-O-S,A26BC20DE5F_hR162_146_26b_b_20b_b_5b_b:C-Cl-H-N-O-S
82,ABEPIG,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO.CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO,"(4, 1)",A7B_mP96_4_42a_6a:C-O,A7B_mP96_4_42a_6a:C-H-O
83,ABEPII,COC1OC2(CC2OC(=O)C23CCC(C)(C(=O)O2)C3(C)C)C(OCc2ccccc2)C(OCc2ccccc2)C1OCc1ccccc1,"(4, 1)",A39B44C9_mP184_4_39a_44a_9a:C-H-O,A39B44C9_mP184_4_39a_44a_9a:C-H-O
84,ABEPIJ,COc1ccc2N(C)C(=O)C(c2c1)=C1C(=O)N(C)c2ccc(Cl)cc12,"(15, 1)",A19BC15D2E3_mC320_15_19f_f_15f_2f_3f:C-Cl-H-N-O,A19BC15D2E3_mC320_15_19f_f_15f_2f_3f:C-Cl-H-N-O
85,ABEPON,CCN1c2ccc(cc2c2cc(C)cc(c12)N(=O)=O)N(=O)=O,"(2, 1)",A15B16C3D4_aP76_2_15i_16i_3i_4i:C-H-N-O,A15B16C3D4_aP76_2_15i_16i_3i_4i:C-H-N-O
86,ABEPOP,CC1=CC=CN2C(=C(N=C12)c1ccccc1)CC1=CNc2ccccc12.CC1=CC=CN2C(=C(N=C12)c1ccccc1)CC1=CNc2ccccc12,"(4, 1)",A23B19C3_mP180_4_46a_38a_6a:C-H-N,A23B19C3_mP180_4_46a_38a_6a:C-H-N
87,ABEPUS,CC1=CCC(C)(C)C2OC2CC2(C)OC2CC1,"(19, 1)",A15B2_oP68_19_15a_2a:C-O,A15B2_oP68_19_15a_2a:C-H-O
88,ABEPUU,CCOC(=O)C(=Cc1ccc(Br)cc1)C1=CC(c2ccccc2)C(CC1)(C=Cc1ccccc1)C(=Cc1ccc(Br)cc1)C(=O)OCC,"(2, 1)",AB21C19D2_aP172_2_2i_42i_38i_4i:Br-C-H-O,AB21C19D2_aP172_2_2i_42i_38i_4i:Br-C-H-O
89,ABEPUV,Cc1ccc(cc1)S(=O)(=O)N1CC=C(C1)C12COCC1C2,"(4, 1)",A16B19CD3E_mP80_4_16a_19a_a_3a_a:C-H-N-O-S,A16B19CD3E_mP80_4_16a_19a_a_3a_a:C-H-N-O-S
90,ABEQAA,CC12Nc3ccccc3OC1(C)Nc1ccccc1O2,"(14, 1)",A8B8CD_mP144_14_16e_16e_2e_2e:C-H-N-O,A8B8CD_mP144_14_16e_16e_2e_2e:C-H-N-O
91,ABEQAA01,CC12Nc3ccccc3OC1(C)Nc1ccccc1O2,"(14, 1)",A8B8CD_mP144_14_16e_16e_2e_2e:C-H-N-O,A8B8CD_mP144_14_16e_16e_2e_2e:C-H-N-O
92,ABEQAC,O=C(c1ccccc1)c1nc2ccccc2nc1c1ccccc1,"(2, 1)",A21B14C2D_aP76_2_21i_14i_2i_i:C-H-N-O,A21B14C2D_aP76_2_21i_14i_2i_i:C-H-N-O
93,ABEQAD,Cc1ccc(cc1)C1=C(C(=O)Oc2ccccc12)N(=O)=O,"(2, 1)",A16B11CD4_aP64_2_16i_11i_i_4i:C-H-N-O,A16B11CD4_aP64_2_16i_11i_i_4i:C-H-N-O
94,ABEQEH,Ic1ccc2c(OC(=O)C(=C2c2ccccc2)N(=O)=O)c1,"(14, 1)",A15B8CDE4_mP116_14_15e_8e_e_e_4e:C-H-I-N-O,A15B8CDE4_mP116_14_15e_8e_e_e_4e:C-H-I-N-O
95,ABEQIH,O=P1([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O1.O.O.O.[NH3+]CCN(CC[NH3+])CC[NH3+],"(2, 1)",A6B4C12D3_aP50_2_6i_4i_12i_3i:C-N-O-P,A6B4C12D3_aP50_2_6i_4i_12i_3i:C-H-N-O-P
96,ABEQIL,FC(F)(F)S(=O)(=O)[O-].COc1ccc(cc1)[n+]1ccc(cc1)C1=NC2=C(S1)N=C(S2)c1cc[n+](cc1)c1ccc(OC)cc1,"(15, 1)",A15B3C11D2E4F2_mC296_15_15f_3f_11f_2f_4f_2f:C-F-H-N-O-S,A15B3C11D2E4F2_mC296_15_15f_3f_11f_2f_4f_2f:C-F-H-N-O-S
97,ABEQON,OP(=O)([O-])OP(O)(=O)[O-].[NH3+]CCc1ccccc1.[NH3+]CCc1ccccc1,"(14, 1)",A16B8C2D7E2_mP140_14_16e_8e_2e_7e_2e:C-H-N-O-P,A16B8C2D7E2_mP140_14_16e_8e_2e_7e_2e:C-H-N-O-P
98,ABEQOO,Cc1c(O)cc2C(=O)C3(CC4C(C)(O)CCC(Cl)C4(C)C)OC(C)(C)C(Cl)CC3(Cl)C(=O)c2c1O,"(19, 1)",A26B3C33D6_oP272_19_26a_3a_33a_6a:C-Cl-H-O,A26B3C33D6_oP272_19_26a_3a_33a_6a:C-Cl-H-O
99,ABEQOQ,COC(=O)C12CCCC(CC1)N2C(=O)c1ccccn1,"(14, 1)",A15B18C2D3_mP152_14_15e_18e_2e_3e:C-H-N-O,A15B18C2D3_mP152_14_15e_18e_2e_3e:C-H-N-O
0,ABEQOR,COc1ccc2OC(=O)C(=C(c3ccccc3)c2c1)N(=O)=O,"(33, 1)",A16B11CD5_oP132_33_16a_11a_a_5a:C-H-N-O,A16B11CD5_oP132_33_16a_11a_a_5a:C-H-N-O
1,ABEQUU,O=N(=O)c1cc(c([O-])c(c1)N(=O)=O)N(=O)=O.[NH3+]CCC(O)=O.[NH3+]CCC(=O)[O-],"(2, 1)",A12B18C5D11_aP92_2_12i_18i_5i_11i:C-H-N-O,A12B18C5D11_aP92_2_12i_18i_5i_11i:C-H-N-O
2,ABEQUW,OC(=O)C12CCCC(C1)N2C(=O)c1ccccn1,"(2, 1)",A13B14C2D3_aP64_2_13i_14i_2i_3i:C-H-N-O,A13B14C2D3_aP64_2_13i_14i_2i_3i:C-H-N-O
3,ABERII,CC1=C2C(=O)C=C(C)C2=CC2=C(C)C(=O)OC2C1.CC1=C2C(=O)C=C(C)C2=CC2=C(C)C(=O)OC2C1,"(4, 1)",A15B14C3_mP128_4_30a_28a_6a:C-H-O,A15B14C3_mP128_4_30a_28a_6a:C-H-O
4,ABERIM,CC1(C)N([O])C(C)(C)c2cc3c(NC4=NC(=O)N(C=C34)C3CC(O)C(CO)O3)cc12.CC1(C)N([O])C(C)(C)c2cc3c(NC4=NC(=O)N(C=C34)C3CC(O)C(CO)O3)cc12,"(1, 1)",A21B25C4D5_aP110_1_42a_50a_8a_10a:C-H-N-O,A21B25C4D5_aP110_1_42a_50a_8a_10a:C-H-N-O
5,ABERUX,Oc1c(cc2ccccc2c1c1c(O)c(cc2ccccc12)C1(O)c2ccccc2c2ccccc12)C1(O)c2ccccc2c2ccccc12.O,"(19, 1)",A46B32C5_oP332_19_46a_32a_5a:C-H-O,A46B32C5_oP332_19_46a_32a_5a:C-H-O
6,ABESAC,O=N(=O)c1cccc(c1)P(=O)(c1cccc(c1)N(=O)=O)c1cccc(c1)N(=O)=O,"(29, 1)",A18B12C3D7E_oP164_29_18a_12a_3a_7a_a:C-H-N-O-P,A18B12C3D7E_oP164_29_18a_12a_3a_7a_a:C-H-N-O-P
7,ABESIK,Clc1cc(Cl)c(cc1Cl)c1ccccc1,"(2, 1)",A12B3C7_aP44_2_12i_3i_7i:C-Cl-H,A12B3C7_aP44_2_12i_3i_7i:C-Cl-H
8,ABESOS,Fc1ccc(cc1)C(=O)C1=CN2C(=Nc3ccccc23)S1,"(19, 1)",A16BC9D2EF_oP120_19_16a_a_9a_2a_a_a:C-F-H-N-O-S,A16BC9D2EF_oP120_19_16a_a_9a_2a_a_a:C-F-H-N-O-S
9,ABESUW,Clc1ccc(cc1)C(=O)NNC(=S)NC(=O)c1ccccc1Cl,"(2, 1)",A15B2C11D3E2F_aP68_2_15i_2i_11i_3i_2i_i:C-Cl-H-N-O-S,A15B2C11D3E2F_aP68_2_15i_2i_11i_3i_2i_i:C-Cl-H-N-O-S
10,ABETIO,CC(C)C(=O)C1CC2(CCC=C(C)CCC3C2CC3(C)C)OC2=C1C(=O)C(C)(C)C(=O)C2(C)C,"(19, 1)",A15B22C2_oP312_19_30a_44a_4a:C-H-O,A15B22C2_oP312_19_30a_44a_4a:C-H-O
11,ABEVIQ,CCc1cccc(CC)c1N1C(=CC(=N(c2c(CC)cccc2CC)[Mg]21C1c3ccccc3C2c23c4c5c6c7c12[Mg]134567N(C(=CC(=N1c1c(CC)cccc1CC)C)C)c1c(CC)cccc1CC)C)C,"(14, 1)",A32B38CD2_mP584_14_64e_76e_2e_4e:C-H-Mg-N,A32B38CD2_mP584_14_64e_76e_2e_4e:C-H-Mg-N
12,ABEVOS,,"(4, 1)",A20B33CD3E_mP232_4_40a_66a_2a_6a_2a:C-H-Li-N-Si,A20B33CD3E_mP232_4_40a_66a_2a_6a_2a:C-H-Li-N-Si
13,ABEVUY,,"(2, 1)",A18B37CD3E_aP240_2_36i_74i_2i_6i_2i:C-H-Li-N-Si,A18B37CD3E_aP240_2_36i_74i_2i_6i_2i:C-H-Li-N-Si
14,ABEWAF,,"(9, 1)",A18B37CD3E_mC480_9_36a_74a_2a_6a_2a:C-H-Li-N-Si,A18B37CD3E_mC480_9_36a_74a_2a_6a_2a:C-H-Li-N-Si
15,ABEWAG,COC,"(86, 2)",A2B6C_tP72_86_2g_6g_g:C-H-O,A2B6C_tP72_86_2g_6g_g:C-H-O
16,ABEWEK,Cl[SiH2]Cl.COC,"(2, 1)",A2B2C8DE_aP28_2_2i_2i_8i_i_i:C-Cl-H-O-Si,A2B2C8DE_aP28_2_2i_2i_8i_i_i:C-Cl-H-O-Si
17,ABEWOW,[I-].CC[N+]1=C(Sc2ccccc12)C=Cc1ccc(O)cc1,"(14, 1)",A17B16CDEF_mP148_14_17e_16e_e_e_e_e:C-H-I-N-O-S,A17B16CDEF_mP148_14_17e_16e_e_e_e_e:C.-H.-I-N-O-S
18,ABEWUC,[I-].CC[N+]1=C(Sc2ccccc12)C=Cc1ccc(OC)cc1,"(2, 1)",A18B18CDEF_aP80_2_18i_18i_i_i_i_i:C-H-I-N-O-S,A18B18CDEF_aP80_2_18i_18i_i_i_i_i:C-H-I-N-O-S
19,ABEXOX,COc1ccc(cc1)N(c1ccc(OC)cc1)c1ccc2cc3cc(ccc3cc2c1)N(c1ccc(OC)cc1)c1ccc(OC)cc1,"(9, 1)",A21B18CD2_mC336_9_42a_36a_2a_4a:C-H-N-O,A21B18CD2_mC336_9_42a_36a_2a_4a:C-H-N-O
20,ABEYAI,Cc1cc(C)cc(c1)N12[Li](N(=C(C)c3ccccc13)C1CCCCC1)N1([Li](N(=C(C)c3ccccc13)C1CCCCC1)N1([Li]2N(=C(C)c2ccccc12)C1CCCCC1)c1cc(C)cc(C)c1)c1cc(C)cc(C)c1.Cc1cc(C)cc(c1)N12[Li](N(=C(C)c3ccccc13)C1CCCCC1)N1([Li](N(=C(C)c3ccccc13)C1CCCCC1)N1([Li]2N(=C(C)c2ccccc12)C1CCCCC1)c1cc(C)cc(C)c1)c1cc(C)cc(C)c1,"(2, 1)",A22B27CD2_aP624_2_132i_162i_6i_12i:C-H-Li-N,A22B27CD2_aP624_2_132i_162i_6i_12i:C-H-Li-N
